Mes,MesNome,Cliente,Ciclos,MediaRetrabalho,Corretivas
1,Jan,LIVE,1,5.9,1.0
2,Feb,LIVE,3,13.9,3.0
2,Feb,SEFAZ,1,23.8,5.0
2,Feb,SEMED,1,0.0,0.0
2,Feb,SEMOB,1,58.3,28.0
2,Feb,SEMPRE,1,66.7,8.0
3,Mar,LIVE,2,12.7,6.0
3,Mar,PRODEB,2,57.1,4.0
3,Mar,SEDUR,1,32.0,8.0
3,Mar,SEFAZ,1,81.4,35.0
3,Mar,SEMGE,1,9.1,4.0
3,Mar,SEMOB,2,63.3,286.0
3,Mar,SMED,1,12.5,1.0
4,Apr,LIVE,1,27.9,12.0
4,Apr,SEDUR,3,23.1,16.0
4,Apr,SEFAZ,2,59.4,15.0
4,Apr,SEMGE,2,20.7,33.0
4,Apr,SEMPRE,1,28.6,12.0
4,Apr,SMED,5,17.8,18.0
5,May,CMS,1,69.1,56.0
5,May,LIVE,2,56.2,158.0
5,May,PRODEB,2,14.7,5.0
5,May,SEDUR,3,25.0,9.0
5,May,SEFAZ,1,25.4,15.0
5,May,SEMGE,2,22.4,22.0
5,May,SEMOB,5,22.6,47.0
5,May,SMED,3,31.6,36.0
6,Jun,CMS,2,72.6,106.0
6,Jun,LIVE,1,45.8,22.0
6,Jun,PRODEB,1,0.0,0.0
6,Jun,SECULT,1,33.3,2.0
6,Jun,SEDUR,1,44.6,29.0
6,Jun,SEMGE,1,8.0,4.0
6,Jun,SEMOB,2,32.3,26.0
7,Jul,CMS,1,60.0,48.0
7,Jul,CODECON,1,42.6,20.0
7,Jul,LIVE,1,48.4,15.0
7,Jul,PRODEB,3,6.7,1.0
7,Jul,SEFAZ,2,4.2,1.0
7,Jul,SEMED,3,6.0,3.0
7,Jul,SEMGE,3,19.5,28.0
7,Jul,SEMOB,4,28.5,42.0
7,Jul,SEMPRE,1,67.9,19.0
7,Jul,SMED,3,45.9,78.0
7,Jul,TRANSALVADOR,1,100.0,87.0
8,Aug,CMS,1,14.3,5.0
8,Aug,CODECON,3,28.2,33.0
8,Aug,LIVE,2,47.6,32.0
8,Aug,PRODEB,1,0.0,0.0
8,Aug,SEDUR,2,38.0,19.0
8,Aug,SEFAZ,2,38.0,11.0
8,Aug,SEMGE,2,6.4,6.0
8,Aug,SEMOB,5,18.7,9.0
8,Aug,SEMPRE,1,14.6,7.0
8,Aug,SMED,2,55.6,10.0
8,Aug,TRANSALVADOR,1,68.0,17.0
9,Sep,CMS,1,0.0,0.0
9,Sep,CODECON,3,6.1,3.0
9,Sep,LIVE,4,29.1,27.0
9,Sep,SEMED,1,18.2,2.0
9,Sep,SEMOB,6,14.8,11.0
9,Sep,SEMOP,1,22.2,2.0
9,Sep,SEMPRE,1,21.7,5.0
9,Sep,SMED,2,24.9,11.0
10,Oct,CODECON,1,21.4,3.0
10,Oct,LIVE,1,16.7,2.0
10,Oct,SEDUR,1,20.0,6.0
10,Oct,SEMOB,1,10.0,1.0
10,Oct,SEMPRE,1,90.9,10.0
