Projeto,Sprint,Mes,Ciclos
CMS-FOLHA DE PAGAMENTO,1.0.0,Setembro,1
CMS-FOLHA DE PAGAMENTO,2.0.0,Setembro,1
CMS-FOLHA DE PAGAMENTO,3.0.1,Agosto,1
CMS-FOLHA DE PAGAMENTO,4.0.0,Julho,1
CMS-FOLHA DE PAGAMENTO,5.0.0,Agosto,1
CMS-FOLHA DE PAGAMENTO,6.0.0,Setembro,1
LIVE-SIGSUAS,1.0.0,Fevereiro,1
LIVE-SIGSUAS,10.0.0,Julho,1
LIVE-SIGSUAS,11.0.0,Agosto,1
LIVE-SIGSUAS,12.0.0,Setembro,1
LIVE-SIGSUAS,13.0.0,Setembro,1
LIVE-SIGSUAS,14.0.0,Outubro,1
LIVE-SIGSUAS,15.0.0,Novembro,1
LIVE-SIGSUAS,16.0.0,Novembro,1
LIVE-SIGSUAS,2.0.0,Fevereiro,1
LIVE-SIGSUAS,3.0.0,Fevereiro,1
LIVE-SIGSUAS,4.0.0,Março,1
LIVE-SIGSUAS,5.0.0,Fevereiro,1
LIVE-SIGSUAS,6.0.0,Maio,1
LIVE-SIGSUAS,7.0.0,Junho,1
LIVE-SIGSUAS,8.0.0,Maio,1
LIVE-SIGSUAS,9.0.0,Julho,1
SEDUR-CONTRATOS,2.0.0,Junho,1
SEDUR-CONTRATOS,4.0.0,Novembro,1
SEDUR-CONTRATOS,5.0.0,Novembro,1
SEDUR-CONTRATOS,6.0.0,Novembro,1
SEDUR-FISCALIZAÇÃO,Sprint 10,Setembro,1
SEDUR-FISCALIZAÇÃO,Sprint 11,Setembro,1
SEDUR-FISCALIZAÇÃO,Sprint 12,Outubro,1
SEDUR-FISCALIZAÇÃO,Sprint 13,Outubro,1
SEDUR-FISCALIZAÇÃO,Sprint 14,Novembro,1
SEDUR-FISCALIZAÇÃO,Sprint 15,Novembro,1
SEDUR-FISCALIZAÇÃO,Sprint 16,Novembro,1
SEDUR-SAUSE,18.0.0,Outubro,1
SEDUR-SAUSE,19.0.0,Outubro,1
SEFAZ-CONTRATOS,2.0.2,Março,1
SEFAZ-CONTRATOS,2.0.3,Junho,1
SEFAZ-CONTRATOS,2.0.4,Julho,1
SEFAZ-CONTRATOS,3.0.0,Setembro,1
SEFAZ-CONTRATOS,3.0.1,Novembro,1
SEFAZ-CONTRATOS,Sprint 1,Maio,1
SEFAZ-CONTRATOS,Sprint 2,Outubro,1
SEFAZ-CONTRATOS,Sprint 3,Outubro,1
SEFAZ-CONTRATOS,Sprint 4,Outubro,1
SEFAZ-CONTRATOS,Sprint 5,Novembro,1
SEFAZ-CONTRATOS,Sprint 6,Outubro,1
SEFAZ-FROTAS,1.0.0,Outubro,1
SEFAZ-FROTAS,11.0.0,Fevereiro,1
SEFAZ-FROTAS,12.0.0,Fevereiro,1
SEFAZ-FROTAS,13.0.0,Fevereiro,1
SEFAZ-FROTAS,14.0.0,Fevereiro,1
SEFAZ-FROTAS,2.0.0,Novembro,1
SEFAZ-FROTAS,20.0.0,Janeiro,1
SEFAZ-FROTAS,21.0.0,Janeiro,1
SEFAZ-FROTAS,22.0.0,Janeiro,1
SEFAZ-FROTAS,23.0.0,Fevereiro,1
