cliente,projeto,Sprints,TotalCiclos,MediaCiclos,Correções,Total(min),Retrabalho(%),Duração(dias),ScoreQualidade,Atrasadas,Aceite1Ciclo,Total(horas),Retrabalho(horas)
SEMOP,GESTÃO COMERCIAL,1,2,2.0,0,18,0.0,20.0,97.0,1,0,0.3,0.0
SEDUR,SISTEMA DE CONTRATOS,1,2,2.0,6,8675,,20.0,96.98,1,0,144.58,
SEDUR,CONTRATOS,3,7,2.33,483,13130,1.75,18.67,94.78,2,0,218.83,3.83
SEDUR,FISCALIZAÇÃO,6,14,2.33,196,22310,2.14,16.0,94.49,2,0,371.83,7.96
CODECON,FISCALIZAÇÃO,2,4,2.0,1,3273,3.84,13.5,94.31,0,0,54.55,2.09
SEMOB,SEMOB,1,3,3.0,4,5842,0.07,26.0,93.95,1,0,97.37,0.07
SEMOB,SYSMOBI,2,5,2.5,5,58453,2.38,28.0,93.83,2,0,974.22,23.19
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,2,5,2.5,279,4775,8.28,34.0,89.71,0,0,79.58,6.59
SEDUR,LICENCIAMENTO DE EVENTOS,5,13,2.6,111,15544,15.39,14.4,84.43,1,0,259.07,39.87
SEFAZ,GESTÃO DE PROJETOS,7,23,3.29,2436,32610,13.44,34.0,83.73,6,0,543.5,73.05
SMED,GESTÃO DE PESSOAS,2,4,2.0,6,21,20.0,76.5,83.0,2,0,0.35,0.07
SEFAZ,CONTRATOS,4,13,3.25,6051,25663,16.41,67.0,81.77,4,0,427.72,70.19
SEMED,SIE - CORUÍPE,2,4,2.0,7,3725,35.0,29.5,72.5,2,0,62.08,21.73
LIVE,SIGSUAS,3,7,2.33,4808,13334,34.16,25.33,72.09,2,0,222.23,75.91
SMED,SIE - SALVADOR,5,11,2.2,3563,9752,25.06,26.6,69.46,3,0,162.53,40.73
SMED,CONSELHO ESCOLAR,2,5,2.5,153,1938,39.19,8.5,68.07,1,0,32.3,12.66
SEMPRE,SIGSUAS,1,1,1.0,1525,2433,62.68,14.0,56.12,0,1,40.55,25.42
LIVE,EDUCAÇÃO,1,2,2.0,2,3,66.67,22.0,50.33,0,0,0.05,0.03
