cliente,projeto,sprint,inicio,fim,duracao,ciclo1,ciclo2,ciclo3,ciclo4,status,correcoes,total,retrabalho,ciclo5,num_ciclos,aceite_1ciclo,status_simplificado,atrasada,eficiencia,taxa_corretivas,score_qualidade,classificacao
CODECON,FISCALIZAÇÃO,10.0.0,29/10/2025,11/11/2025,14,04/11/2025,,,,Liberada,0,3260,0.0,,2,0,Liberada,0,0.1428571428571428,0.0,97.0,Excelente
LIVE,EDUCAÇÃO,5.0.0,17/10/2025,07/11/2025,22,07/11/2025,,,,Liberada/Sem QA,2,3,66.67,,2,0,Liberada,0,0.0909090909090909,66.66666666666666,50.332,Regular
LIVE,SIGSUAS,15.0.0,20/10/2025,19/11/2025,31,10/11/2025,11/11/2025,,,Liberada/Atrasada,1368,4788,28.57,,3,0,Liberada,1,0.0967741935483871,28.57142857142857,74.00057142857142,Bom
LIVE,SIGSUAS,16.0.0,17/11/2025,01/12/2025,15,28/11/2025,,,,Liberada,491,3676,13.36,,2,0,Liberada,0,0.1333333333333333,13.356909684439607,87.64892709466812,Excelente
SEDUR,CONTRATOS,4.0.0,26/11/2025,26/11/2025,1,26/11/2025,,,,Liberada,0,453,0.0,,2,0,Liberada,0,2.0,0.0,97.0,Excelente
SEDUR,CONTRATOS,5.0.0,30/10/2025,,33,14/11/2025,26/11/2025,,,Correção/Atrasada,483,9213,5.24,,3,0,Em Correção,1,0.0909090909090909,5.2425919895799415,90.33122240312602,Excelente
SEDUR,CONTRATOS,6.0.0,03/11/2025,24/11/2025,22,24/11/2025,,,,Liberada/Atrasada,0,3464,0.0,,2,0,Liberada,1,0.0909090909090909,0.0,97.0,Excelente
SEDUR,FISCALIZAÇÃO,14.0.0,29/10/2025,12/11/2025,15,05/11/2025,,,,Liberada,0,9315,0.0,,2,0,Liberada,0,0.1333333333333333,0.0,97.0,Excelente
SEDUR,FISCALIZAÇÃO,15.0.0,05/11/2025,25/11/2025,21,13/11/2025,25/11/2025,,,Liberada/Atrasada,78,3381,2.04,,3,0,Liberada,1,0.1428571428571428,2.3070097604259097,92.49189707187224,Excelente
SEDUR,FISCALIZAÇÃO,16.0.0,12/11/2025,,20,19/11/2025,24/11/2025,,,Correção/Atrasada,93,3172,2.93,,3,0,Em Correção,1,0.15,2.9319041614123584,91.94842875157627,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,33.0.0,27/10/2025,11/11/2025,16,06/11/2025,11/11/2025,,,Liberada/Atrasada,25,4971,0.5,,3,0,Liberada,1,0.1875,0.5029169181251257,93.64912492456246,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,34.0.0,24/10/2025,,18,03/11/2025,06/11/2025,,,Correção,12,17,70.59,,3,0,Em Correção,0,0.1666666666666666,70.58823529411765,44.58752941176471,Regular
SEDUR,LICENCIAMENTO DE EVENTOS,35.0.0,05/11/2025,19/11/2025,15,18/11/2025,19/11/2025,,,Liberada,73,8366,0.87,,3,0,Liberada,0,0.2,0.8725794884054507,93.39022615347837,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,36.0.0,17/11/2025,24/11/2025,8,24/11/2025,,,,Liberada,0,2170,0.0,,2,0,Liberada,0,0.25,0.0,97.0,Excelente
SEDUR,SISTEMA DE CONTRATOS,5.0.0,30/10/2025,,20,14/11/2025,,,,Correção/Atrasada,6,8675,,,2,0,Em Correção,1,0.1,0.0691642651296829,96.9792507204611,Excelente
SEFAZ,CONTRATOS,3.0.0,12/08/2025,28/11/2025,109,10/09/2025,17/11/2025,24/11/2025,28/11/2025,Liberada/Atrasada,5527,9316,59.33,,5,0,Liberada,1,0.0458715596330275,59.328037784456846,46.46958866466295,Regular
SEFAZ,CONTRATOS,3.0.1,29/10/2025,25/11/2025,28,17/11/2025,24/11/2025,,,Liberada/Atrasada,18,3554,0.51,,3,0,Liberada,1,0.1071428571428571,0.5064715813168261,93.64405852560496,Excelente
SEFAZ,GESTÃO DE PROJETOS,1.0.0,22/09/2025,10/11/2025,50,22/10/2025,03/11/2025,18/11/2025,,Liberada/Atrasada,878,7752,11.33,,4,0,Liberada,1,0.08,11.32610939112487,83.07016718266254,Excelente
SEFAZ,GESTÃO DE PROJETOS,2.0.0,08/10/2025,19/11/2025,43,05/11/2025,18/11/2025,19/11/2025,,Liberada/Atrasada,1004,11546,8.7,,4,0,Liberada,1,0.0930232558139534,8.695652173913043,84.91130434782609,Excelente
SEFAZ,GESTÃO DE PROJETOS,3.0.0,05/11/2025,01/12/2025,27,17/11/2025,19/11/2025,24/11/2025,28/11/2025,Liberada/Atrasada,198,3643,5.44,01/12/2025,5,0,Liberada,1,0.1851851851851851,5.43508097721658,84.19347570683503,Excelente
SEFAZ,GESTÃO DE PROJETOS,4.0.0,18/11/2025,,14,28/11/2025,,,,Correção,3,5673,0.0,,2,0,Em Correção,0,0.1428571428571428,0.0528820729772607,96.98413537810684,Excelente
